code,title,type,L,T,P,J,C,owner,program,nbr,slot,venue,fac_name,school,mode,seats
BIF201,Biological Databases,TH,3,0,0,0,3,SBST,BTECH,3990,E1,SJT303,SUDHA RAMAIAH,SBST,PBL,60
BIF201,Biological Databases,TH,3,0,0,0,3,SBST,BTECH,4378,E2,SJT823,ANAND A,SBST,PBL,60
BIF202,Analytical Bioinformatics,ETH,3,0,0,0,3,SBST,BTECH,3979,D1,SJT303,ANAND A,SBST,CBL,60
BIF202,Analytical Bioinformatics,ETH,3,0,0,0,3,SBST,BTECH,3981,D2,SJT303,SUDHA RAMAIAH,SBST,CBL,60
BIF202,Analytical Bioinformatics,ELA,0,0,2,0,1,SBST,BTECH,4004,L21+L22,SMVG15,SUDANDIRA DOSS C,SBST,LBC,30
BIF202,Analytical Bioinformatics,ELA,0,0,2,0,1,SBST,BTECH,4008,L27+L28,SMVG16,FEBIN PRABHU DASS J,SBST,LBC,30
BIF202,Analytical Bioinformatics,ELA,0,0,2,0,1,SBST,BTECH,4010,L45+L46,SMVG16,SUDHA RAMAIAH,SBST,LBC,30
BIF202,Analytical Bioinformatics,ELA,0,0,2,0,1,SBST,BTECH,4013,L57+L58,SMVG16,JAYANTHI S,SBST,LBC,30
BIF203,Bioinformatics,ETH,3,0,0,0,3,SBST,BTECH,2953,A1+TA1,SMV234,RAJINIRAJA M,SBST,CBL,62
BIF203,Bioinformatics,ETH,3,0,0,0,3,SBST,BTECH,2954,A2+TA2,SMV110,RAJASEKARAN R,SBST,CBL,62
BIF203,Bioinformatics,ELA,0,0,2,0,1,SBST,BTECH,3031,L7+L8,SMVG15,JAYANTHI S,SBST,LBC,30
BIF203,Bioinformatics,ELA,0,0,2,0,1,SBST,BTECH,3032,L11+L12,SMVG15,SAJITHA LULU S,SBST,LBC,32
BIF203,Bioinformatics,ELA,0,0,2,0,1,SBST,BTECH,3033,L43+L44,SMVG16,RAJASEKARAN R,SBST,LBC,32
BIF203,Bioinformatics,ELA,0,0,2,0,1,SBST,BTECH,3034,L41+L42,SMVG16,JAYANTHI S,SBST,LBC,30
BIF301,Computational Methods for Biomolecules,TH,3,0,0,0,3,SBST,BTECH,4381,A2+TA2,SMV122,RAO SETHUMADHAVAN,SBST,CBL,60
BIF302,System Biology,TH,3,0,0,0,3,SBST,BTECH,4379,E2,SJT824,SAJITHA LULU S,SBST,CBL,60
BIF303,Genomics and Proteomics,ETH,3,0,0,0,3,SBST,BTECH,3961,A1+TA1,SJT823,PATEL TRUPTI NAVINCHANDRA,SBST,CBL,60
BIF303,Genomics and Proteomics,ETH,3,0,0,0,3,SBST,BTECH,4373,B2+TB2,SJT823,RAJINIRAJA M,SBST,CBL,60
BIF303,Genomics and Proteomics,ELA,0,0,2,0,1,SBST,BTECH,4374,L13+L14,SMVG15,ARNOLD EMERSON I,SBST,LBC,30
BIF303,Genomics and Proteomics,ELA,0,0,2,0,1,SBST,BTECH,4375,L13+L14,SMVG15,SUDANDIRA DOSS C,SBST,LBC,30
BIF303,Genomics and Proteomics,ELA,0,0,2,0,1,SBST,BTECH,4376,L31+L32,SMVG16,RAJINIRAJA M,SBST,LBC,30
BIF303,Genomics and Proteomics,ELA,0,0,2,0,1,SBST,BTECH,4377,L31+L32,SMVG16,ARNOLD EMERSON I,SBST,LBC,30
BIF304,Computational Biology,TH,3,0,0,0,3,SBST,BTECH,3991,A1+TA1,SJT824,SAJITHA LULU S,SBST,CBL,60
BIF304,Computational Biology,TH,3,0,0,0,3,SBST,BTECH,4371,B2+TB2,SJT824,ARNOLD EMERSON I,SBST,CBL,60
BIF306,Immunology and Immunoinformatics,TH,3,0,0,0,3,SBST,BTECH,4020,F1,SMV130,SIVAKUMAR A,SBST,CBL,48
BIF311,Protein Engineering,TH,3,0,0,0,3,SBST,BTECH,3973,F1,SJT303,PRIYANKAR SEN,CBST,CBL,60
BIF404,Cancer Informatics,TH,3,0,0,0,3,SBST,BTECH,4384,C1,SMVG11,RAJASEKARAN R,SBST,CBL,60
BIF499,Project Work,PJT,0,0,0,0,20,SBST,BTECH,5297,NIL,NIL,PROGRAM MANAGER 02,SBST,PBC,1000
BIT1001,Introduction to Life Sciences (Bridge Course),TH,4,0,0,0,4,SBST,BTECH,2986,F1+TF1,SMV116,SAMANTA SEKHAR KHORA,SBST,CBL,70
BIT1003,Biology for Engineers,ETH,3,0,0,0,3,SBST,BTECH,2987,D1,SMV128,DEBASISH MISHRA,SBST,CBL,60
BIT1003,Biology for Engineers,ETH,3,0,0,0,3,SBST,BTECH,2988,D2,SMV124,RAUNAK KUMAR DAS,SBST,CBL,60
BIT1003,Biology for Engineers,EPJ,0,0,0,4,1,SBST,BTECH,5330,NIL,NIL,ACAD FACULTY,ACAD,PBC,1000
BIT1003,Biology for Engineers,ELA,0,0,2,0,1,SBST,BTECH,4387,L11+L12,SMVG29A,DEBASISH MISHRA,SBST,LBC,30
BIT1003,Biology for Engineers,ELA,0,0,2,0,1,SBST,BTECH,4388,L7+L8,SMVG29A,RAUNAK KUMAR DAS,SBST,LBC,30
BIT1003,Biology for Engineers,ELA,0,0,2,0,1,SBST,BTECH,4389,L55+L56,SMVG29A,DEBASISH MISHRA,SBST,LBC,30
BIT1003,Biology for Engineers,ELA,0,0,2,0,1,SBST,BTECH,4390,L49+L50,SMVG29A,DEBASISH MISHRA,SBST,LBC,30
BIT1004,Cell Biology and Biochemistry,ETH,3,0,0,0,3,SBST,BTECH,3938,F1,SMV218,PRIYANKA SRIVASTAVA,SBST,CBL,60
BIT1004,Cell Biology and Biochemistry,ETH,3,0,0,0,3,SBST,BTECH,3939,F2,SMV218,GAYATHRI M,SBST,CBL,60
BIT1004,Cell Biology and Biochemistry,ELA,0,0,2,0,1,SBST,BTECH,3955,L33+L34,SMV212,PRIYANKA SRIVASTAVA,SBST,LBC,30
BIT1004,Cell Biology and Biochemistry,ELA,0,0,2,0,1,SBST,BTECH,3956,L43+L44,SMV216,DEVI RAJESWARI V,SBST,LBC,30
BIT1004,Cell Biology and Biochemistry,ELA,0,0,2,0,1,SBST,BTECH,3957,L13+L14,SMV216,KAVITHA M,SBST,LBC,30
BIT1004,Cell Biology and Biochemistry,ELA,0,0,2,0,1,SBST,BTECH,3960,L3+L4,SMV216,GAYATHRI M,SBST,LBC,30
BIT1005,Biochemistry,ETH,3,0,0,0,3,SBST,BTECH,2940,A1+TA1,SMV128,SUBHASHREE V,SBST,CBL,67
BIT1005,Biochemistry,ETH,3,0,0,0,3,SBST,BTECH,2941,A2+TA2,SMV101,KALAIVANI T,SBST,CBL,67
BIT1005,Biochemistry,ETH,3,0,0,0,3,SBST,BTECH,2942,A2+TA2,SMV109,SHANTHI C,SBST,CBL,67
BIT1005,Biochemistry,ELA,0,0,2,0,1,SBST,BTECH,3246,L43+L44,SMV212,VIDHYA V. IYER,SBST,LBC,34
BIT1005,Biochemistry,ELA,0,0,2,0,1,SBST,BTECH,3247,L55+L56,SMV212,RAJAM C,SBST,LBC,34
BIT1005,Biochemistry,ELA,0,0,2,0,1,SBST,BTECH,3249,L13+L14,SMV225,SUBHASHREE V,SBST,LBC,35
BIT1005,Biochemistry,ELA,0,0,2,0,1,SBST,BTECH,3250,L25+L26,SMV225,RAJAM C,SBST,LBC,33
BIT1005,Biochemistry,ELA,0,0,2,0,1,SBST,BTECH,3252,L1+L2,SMVG29A,VIDHYA V. IYER,SBST,LBC,30
BIT1005,Biochemistry,ELA,0,0,2,0,1,SBST,BTECH,3253,L7+L8,SMV225,SUBHASHREE V,SBST,LBC,34
BIT1006,Cell Biology and Genetics,ETH,3,0,0,0,3,SBST,BTECH,2948,C1,SMV234,SUNITA NAYAK,SBST,CBL,70
BIT1006,Cell Biology and Genetics,ETH,3,0,0,0,3,SBST,BTECH,2949,C2,SMV235,ABUL KALAM AZAD MANDAL,SBST,CBL,60
BIT1006,Cell Biology and Genetics,ETH,3,0,0,0,3,SBST,BTECH,2950,C2,SMV105,RAJASEKARAN C,SBST,CBL,70
BIT1006,Cell Biology and Genetics,ELA,0,0,2,0,1,SBST,BTECH,3263,L37+L38,SMV242,GAYATHRI M,SBST,LBC,35
BIT1006,Cell Biology and Genetics,ELA,0,0,2,0,1,SBST,BTECH,3264,L45+L46,SMV242,KALAIVANI T,SBST,LBC,35
BIT1006,Cell Biology and Genetics,ELA,0,0,2,0,1,SBST,BTECH,3265,L23+L24,SMV242,SUNITA NAYAK,SBST,LBC,33
BIT1006,Cell Biology and Genetics,ELA,0,0,2,0,1,SBST,BTECH,3266,L1+L2,SMV242,SUNITA NAYAK,SBST,LBC,33
BIT1006,Cell Biology and Genetics,ELA,0,0,2,0,1,SBST,BTECH,3267,L11+L12,SMV242,VENKATRAMAN M,SBST,LBC,32
BIT1006,Cell Biology and Genetics,ELA,0,0,2,0,1,SBST,BTECH,3268,L13+L14,SMV242,VENKATRAMAN M,SBST,LBC,32
BIT1007,Microbiology,ETH,2,0,0,0,2,SBST,BTECH,2947,G1,SMV105,SUNEETHA V,SBST,CBL,70
BIT1007,Microbiology,ETH,2,0,0,0,2,SBST,BTECH,5149,G2,SMV218,SATHIAVELU A,SBST,CBL,60
BIT1007,Microbiology,ETH,2,0,0,0,2,SBST,BTECH,5150,G2,SMV219,,,CBL,71
BIT1007,Microbiology,EPJ,0,0,0,4,1,SBST,BTECH,5331,NIL,NIL,ACAD FACULTY,ACAD,PBC,1000
BIT1007,Microbiology,ELA,0,0,2,0,1,SBST,BTECH,3244,L37+L38,SMV216,SUNEETHA V,SBST,LBC,35
BIT1007,Microbiology,ELA,0,0,2,0,1,SBST,BTECH,3245,L45+L46,SMV216,BHASKARA RAO K.V,SBST,LBC,35
BIT1007,Microbiology,ELA,0,0,2,0,1,SBST,BTECH,5163,L5+L6,SMV216,SATHIAVELU A,SBST,LBC,33
BIT1007,Microbiology,ELA,0,0,2,0,1,SBST,BTECH,5165,L7+L8,SMV242,SATHIAVELU A,SBST,LBC,32
BIT1008,Principles of Chemical Engineering,ETH,2,1,0,0,3,SBST,BTECH,2944,D1,SMV234,SHANTHI V,SBST,CBL,65
BIT1008,Principles of Chemical Engineering,ETH,2,1,0,0,3,SBST,BTECH,2945,D2,SMV116,RAMANATHAN K,SBST,CBL,65
BIT1008,Principles of Chemical Engineering,ETH,2,1,0,0,3,SBST,BTECH,2946,D2,SMV111,ABHISHEK SINHA,SBST,CBL,65
BIT1008,Principles of Chemical Engineering,ELA,0,0,2,0,1,SBST,BTECH,3274,L19+L20,SMVG29,JITENDRA SATIJA,SBST,LBC,33
BIT1008,Principles of Chemical Engineering,ELA,0,0,2,0,1,SBST,BTECH,3276,L25+L26,SMVG29,ABHISHEK SINHA,SBST,LBC,32
BIT1008,Principles of Chemical Engineering,ELA,0,0,2,0,1,SBST,BTECH,3277,L3+L4,SMVG29,ABHISHEK SINHA,SBST,LBC,33
BIT1008,Principles of Chemical Engineering,ELA,0,0,2,0,1,SBST,BTECH,3278,L13+L14,SMVG29,DWAIPAYAN SEN,SBST,LBC,32
BIT1008,Principles of Chemical Engineering,ELA,0,0,2,0,1,SBST,BTECH,3279,L37+L38,SMVG29,SHANTHI V,SBST,LBC,32
BIT1008,Principles of Chemical Engineering,ELA,0,0,2,0,1,SBST,BTECH,3280,L45+L46,SMVG29,DWAIPAYAN SEN,SBST,LBC,33
BIT1012,Human Anatomy and Physiology,ETH,3,0,0,0,3,SBST,BTECH,2186,F1,CBMR101,GUNASEKARAN S,SBST,CBL,60
BIT1012,Human Anatomy and Physiology,ELA,0,0,2,0,1,SBST,BTECH,3215,L33+L34,CBMR105,SUGANTHAN V,SBST,LBC,20
BIT1012,Human Anatomy and Physiology,ELA,0,0,2,0,1,SBST,BTECH,3216,L45+L46,CBMR105,SUGANTHAN V,SBST,LBC,20
BIT1012,Human Anatomy and Physiology,ELA,0,0,2,0,1,SBST,BTECH,3217,L49+L50,CBMR105,SUGANTHAN V,SBST,LBC,20
BIT1013,Semiconductor Devices and Circuits,ETH,2,0,0,0,2,SBST,BTECH,2865,B1,CBMR101,SASIKUMAR K,SBST,CBL,60
BIT1013,Semiconductor Devices and Circuits,EPJ,0,0,0,4,1,SBST,BTECH,3777,NIL,NIL,ACAD FACULTY,ACAD,PBC,1000
BIT1013,Semiconductor Devices and Circuits,ELA,0,0,2,0,1,SBST,BTECH,3219,L31+L32,CBMR305,SASIKUMAR K,SBST,LBC,20
BIT1013,Semiconductor Devices and Circuits,ELA,0,0,2,0,1,SBST,BTECH,3220,L43+L44,CBMR305,SASIKUMAR K,SBST,LBC,20
BIT1013,Semiconductor Devices and Circuits,ELA,0,0,2,0,1,SBST,BTECH,3221,L51+L52,CBMR305,SASIKUMAR K,SBST,LBC,20
BIT1016,Biochemical Analysis and Techniques,ETH,2,0,0,0,2,SBST,BTECH,2187,G1,CBMR101,BHASKAR MOHAN MURARI,SBST,CBL,60
BIT1016,Biochemical Analysis and Techniques,EPJ,0,0,0,4,1,SBST,BTECH,3778,NIL,NIL,ACAD FACULTY,ACAD,PBC,1000
BIT1016,Biochemical Analysis and Techniques,ELA,0,0,2,0,1,SBST,BTECH,3223,L39+L40,CBMR106,BHASKAR MOHAN MURARI,SBST,LBC,20
BIT1016,Biochemical Analysis and Techniques,ELA,0,0,2,0,1,SBST,BTECH,3224,L55+L56,CBMR106,BHASKAR MOHAN MURARI,SBST,LBC,20
BIT1018,Medical Optics,TH,3,0,0,0,3,SBST,BTECH,5148,G2+TG2,CBMR301,SUGANTHAN V,SBST,CBL,60
BIT1026,"Food, Nutrition and Health",ETH,2,0,0,0,2,SBST,BTECH,2951,G2,SMV101,PRAGASAM V,SBST,CBL,60
BIT1026,"Food, Nutrition and Health",ETH,2,0,0,0,2,SBST,BTECH,2952,B1,SMV101,ASIT RANJAN GHOSH,SBST,CBL,60
BIT1026,"Food, Nutrition and Health",ELA,0,0,2,0,1,SBST,BTECH,4827,L9+L10,SMV242,CHITRA KALAICHELVAN,SBST,LBC,30
